title="Density"
variables = "x","y","num"
zone i=100,j=100,f=point
1 1 9e+14
2 1 9e+14
3 1 8e+14
4 1 9e+14
5 1 8e+14
6 1 5e+14
7 1 1.2e+15
8 1 6e+14
9 1 1e+15
10 1 8e+14
11 1 9e+14
12 1 1e+15
13 1 8e+14
14 1 9e+14
15 1 1e+15
16 1 6e+14
17 1 5e+14
18 1 1e+15
19 1 7e+14
20 1 1e+15
21 1 9e+14
22 1 8e+14
23 1 1e+15
24 1 8e+14
25 1 9e+14
26 1 1e+15
27 1 6e+14
28 1 1e+15
29 1 4e+14
30 1 1e+15
31 1 9e+14
32 1 9e+14
33 1 1e+15
34 1 9e+14
35 1 9e+14
36 1 1.1e+15
37 1 9e+14
38 1 9e+14
39 1 1.1e+15
40 1 9e+14
41 1 9e+14
42 1 7e+14
43 1 8e+14
44 1 7e+14
45 1 1e+15
46 1 1e+15
47 1 9e+14
48 1 1e+15
49 1 1e+15
50 1 1e+15
51 1 1e+15
52 1 1e+15
53 1 1e+15
54 1 1e+15
55 1 1e+15
56 1 1.1e+15
57 1 9e+14
58 1 1.3e+15
59 1 1.1e+15
60 1 1e+15
61 1 1.3e+15
62 1 1.2e+15
63 1 1.1e+15
64 1 1.3e+15
65 1 1.4e+15
66 1 1.3e+15
67 1 7e+14
68 1 1.5e+15
69 1 1e+15
70 1 1.2e+15
71 1 1.1e+15
72 1 1.4e+15
73 1 1.1e+15
74 1 1.2e+15
75 1 1.3e+15
76 1 1.4e+15
77 1 1.8e+15
78 1 1.2e+15
79 1 1.2e+15
80 1 1.1e+15
81 1 9e+14
82 1 1.3e+15
83 1 1.1e+15
84 1 1.1e+15
85 1 1.5e+15
86 1 1.5e+15
87 1 1.3e+15
88 1 1.2e+15
89 1 1.6e+15
90 1 1.2e+15
91 1 1.4e+15
92 1 1.2e+15
93 1 1.2e+15
94 1 1.5e+15
95 1 1.7e+15
96 1 1e+15
97 1 9e+14
98 1 1.8e+15
99 1 1.2e+15
100 1 1.4e+15
1 2 9e+14
2 2 6e+14
3 2 7e+14
4 2 5e+14
5 2 8e+14
6 2 8e+14
7 2 7e+14
8 2 5e+14
9 2 9e+14
10 2 1e+15
11 2 5e+14
12 2 7e+14
13 2 9e+14
14 2 8e+14
15 2 4e+14
16 2 8e+14
17 2 1e+15
18 2 5e+14
19 2 7e+14
20 2 1e+15
21 2 5e+14
22 2 1e+15
23 2 4e+14
24 2 1e+15
25 2 7e+14
26 2 7e+14
27 2 7e+14
28 2 8e+14
29 2 8e+14
30 2 9e+14
31 2 8e+14
32 2 6e+14
33 2 9e+14
34 2 8e+14
35 2 6e+14
36 2 8e+14
37 2 7e+14
38 2 3e+14
39 2 1.1e+15
40 2 1e+15
41 2 5e+14
42 2 9e+14
43 2 7e+14
44 2 1.1e+15
45 2 1e+15
46 2 8e+14
47 2 1e+15
48 2 8e+14
49 2 9e+14
50 2 8e+14
51 2 1.2e+15
52 2 9e+14
53 2 9e+14
54 2 8e+14
55 2 1.3e+15
56 2 9e+14
57 2 9e+14
58 2 1e+15
59 2 8e+14
60 2 1.3e+15
61 2 8e+14
62 2 1.1e+15
63 2 1.4e+15
64 2 1.1e+15
65 2 1.2e+15
66 2 1.3e+15
67 2 1.4e+15
68 2 1.4e+15
69 2 1.4e+15
70 2 1.4e+15
71 2 1.5e+15
72 2 1.1e+15
73 2 9e+14
74 2 1.4e+15
75 2 1.2e+15
76 2 1.4e+15
77 2 1e+15
78 2 1.6e+15
79 2 1.3e+15
80 2 1.5e+15
81 2 1.4e+15
82 2 1.6e+15
83 2 1.1e+15
84 2 1.7e+15
85 2 1.3e+15
86 2 1.5e+15
87 2 1e+15
88 2 1.5e+15
89 2 1.2e+15
90 2 1.3e+15
91 2 1.6e+15
92 2 1.3e+15
93 2 1.4e+15
94 2 1.4e+15
95 2 1.2e+15
96 2 1.8e+15
97 2 8e+14
98 2 1.6e+15
99 2 1.2e+15
100 2 9e+14
1 3 1.2e+15
2 3 8e+14
3 3 1.3e+15
4 3 4e+14
5 3 6e+14
6 3 1.1e+15
7 3 7e+14
8 3 1.1e+15
9 3 8e+14
10 3 9e+14
11 3 9e+14
12 3 4e+14
13 3 6e+14
14 3 9e+14
15 3 9e+14
16 3 6e+14
17 3 8e+14
18 3 8e+14
19 3 1.2e+15
20 3 9e+14
21 3 5e+14
22 3 4e+14
23 3 1.2e+15
24 3 7e+14
25 3 1e+15
26 3 8e+14
27 3 1e+15
28 3 8e+14
29 3 5e+14
30 3 7e+14
31 3 1.1e+15
32 3 7e+14
33 3 7e+14
34 3 1e+15
35 3 9e+14
36 3 6e+14
37 3 1e+15
38 3 8e+14
39 3 9e+14
40 3 1e+15
41 3 1e+15
42 3 8e+14
43 3 9e+14
44 3 4e+14
45 3 9e+14
46 3 1e+15
47 3 9e+14
48 3 1e+15
49 3 8e+14
50 3 1e+15
51 3 9e+14
52 3 8e+14
53 3 1.3e+15
54 3 1e+15
55 3 1.2e+15
56 3 8e+14
57 3 1.1e+15
58 3 1e+15
59 3 1.1e+15
60 3 1.4e+15
61 3 8e+14
62 3 1e+15
63 3 9e+14
64 3 1.1e+15
65 3 9e+14
66 3 1.1e+15
67 3 1.5e+15
68 3 1.3e+15
69 3 1e+15
70 3 1.2e+15
71 3 1.2e+15
72 3 1.2e+15
73 3 1.9e+15
74 3 1.5e+15
75 3 1.3e+15
76 3 9e+14
77 3 1.3e+15
78 3 1.1e+15
79 3 1.6e+15
80 3 1.4e+15
81 3 1.5e+15
82 3 1.2e+15
83 3 1.5e+15
84 3 1e+15
85 3 1.1e+15
86 3 1.1e+15
87 3 1.2e+15
88 3 1.7e+15
89 3 1e+15
90 3 1.8e+15
91 3 1.3e+15
92 3 7e+14
93 3 1.2e+15
94 3 1.5e+15
95 3 1.6e+15
96 3 1.1e+15
97 3 1.6e+15
98 3 1.6e+15
99 3 1.3e+15
100 3 1.3e+15
1 4 1e+15
2 4 7e+14
3 4 7e+14
4 4 8e+14
5 4 5e+14
6 4 5e+14
7 4 8e+14
8 4 7e+14
9 4 9e+14
10 4 5e+14
11 4 1.3e+15
12 4 6e+14
13 4 1.2e+15
14 4 7e+14
15 4 6e+14
16 4 1.1e+15
17 4 1e+15
18 4 7e+14
19 4 7e+14
20 4 1.1e+15
21 4 6e+14
22 4 1e+15
23 4 5e+14
24 4 1e+15
25 4 1.1e+15
26 4 5e+14
27 4 1e+15
28 4 5e+14
29 4 9e+14
30 4 3e+14
31 4 5e+14
32 4 9e+14
33 4 9e+14
34 4 8e+14
35 4 1e+15
36 4 6e+14
37 4 7e+14
38 4 5e+14
39 4 1e+15
40 4 9e+14
41 4 9e+14
42 4 7e+14
43 4 1e+15
44 4 1.1e+15
45 4 7e+14
46 4 7e+14
47 4 9e+14
48 4 1e+15
49 4 1e+15
50 4 9e+14
51 4 8e+14
52 4 1e+15
53 4 6e+14
54 4 1.2e+15
55 4 1e+15
56 4 8e+14
57 4 1e+15
58 4 1.3e+15
59 4 8e+14
60 4 1.1e+15
61 4 1.1e+15
62 4 1.4e+15
63 4 1.4e+15
64 4 1e+15
65 4 1.2e+15
66 4 1e+15
67 4 8e+14
68 4 7e+14
69 4 1.3e+15
70 4 1.4e+15
71 4 8e+14
72 4 1.3e+15
73 4 1.4e+15
74 4 9e+14
75 4 1.1e+15
76 4 1.4e+15
77 4 1.1e+15
78 4 1.4e+15
79 4 1.1e+15
80 4 1.3e+15
81 4 8e+14
82 4 1.2e+15
83 4 1.1e+15
84 4 1.8e+15
85 4 1.3e+15
86 4 1.2e+15
87 4 1.6e+15
88 4 1.3e+15
89 4 1.2e+15
90 4 1.4e+15
91 4 1.6e+15
92 4 1.3e+15
93 4 1.6e+15
94 4 9e+14
95 4 1.4e+15
96 4 1.3e+15
97 4 8e+14
98 4 1e+15
99 4 1e+15
100 4 1.5e+15
1 5 3e+14
2 5 9e+14
3 5 1.1e+15
4 5 3e+14
5 5 9e+14
6 5 5e+14
7 5 1e+15
8 5 6e+14
9 5 6e+14
10 5 7e+14
11 5 9e+14
12 5 4e+14
13 5 3e+14
14 5 5e+14
15 5 7e+14
16 5 5e+14
17 5 8e+14
18 5 8e+14
19 5 2e+14
20 5 1e+15
21 5 5e+14
22 5 6e+14
23 5 5e+14
24 5 8e+14
25 5 4e+14
26 5 8e+14
27 5 3e+14
28 5 1.5e+15
29 5 3e+14
30 5 1.1e+15
31 5 8e+14
32 5 9e+14
33 5 8e+14
34 5 8e+14
35 5 7e+14
36 5 1e+15
37 5 1.1e+15
38 5 1.2e+15
39 5 4e+14
40 5 8e+14
41 5 8e+14
42 5 9e+14
43 5 4e+14
44 5 1e+15
45 5 1.4e+15
46 5 1.2e+15
47 5 9e+14
48 5 1.1e+15
49 5 7e+14
50 5 1.1e+15
51 5 1.2e+15
52 5 9e+14
53 5 1e+15
54 5 1e+15
55 5 1e+15
56 5 1.1e+15
57 5 7e+14
58 5 8e+14
59 5 1.1e+15
60 5 1.6e+15
61 5 9e+14
62 5 1.2e+15
63 5 8e+14
64 5 8e+14
65 5 1.1e+15
66 5 1.8e+15
67 5 5e+14
68 5 1.1e+15
69 5 1.2e+15
70 5 1.5e+15
71 5 1.5e+15
72 5 8e+14
73 5 9e+14
74 5 1.7e+15
75 5 1.2e+15
76 5 1.8e+15
77 5 6e+14
78 5 2.1e+15
79 5 1.1e+15
80 5 1.2e+15
81 5 1.6e+15
82 5 1.3e+15
83 5 1.1e+15
84 5 1.5e+15
85 5 1.2e+15
86 5 1.5e+15
87 5 1.4e+15
88 5 1.5e+15
89 5 1.5e+15
90 5 1e+15
91 5 1.1e+15
92 5 1.3e+15
93 5 6e+14
94 5 1.6e+15
95 5 1.3e+15
96 5 1.5e+15
97 5 1.1e+15
98 5 1.4e+15
99 5 1.2e+15
100 5 1.6e+15
1 6 1e+15
2 6 5e+14
3 6 8e+14
4 6 7e+14
5 6 1e+15
6 6 9e+14
