title="eDensity"
variables = "x","y","num"
zone i=100,j=100,f=point
1 1 1.3e+15
2 1 1e+15
3 1 9e+14
4 1 4e+14
5 1 4e+14
6 1 4e+14
7 1 3e+14
8 1 3e+14
9 1 2e+14
10 1 2e+14
11 1 1e+14
12 1 1e+14
13 1 1e+14
14 1 0
15 1 1e+14
16 1 1e+14
17 1 0
18 1 1e+14
19 1 0
20 1 0
21 1 0
22 1 2e+14
23 1 1e+14
24 1 0
25 1 0
26 1 0
27 1 0
28 1 0
29 1 1e+14
30 1 1e+14
31 1 0
32 1 0
33 1 1e+14
34 1 0
35 1 0
36 1 1e+14
37 1 0
38 1 0
39 1 0
40 1 1e+14
41 1 0
42 1 0
43 1 0
44 1 1e+14
45 1 0
46 1 0
47 1 2e+14
48 1 0
49 1 0
50 1 1e+14
51 1 1e+14
52 1 0
53 1 0
54 1 2e+14
55 1 0
56 1 1e+14
57 1 0
58 1 1e+14
59 1 0
60 1 0
61 1 1e+14
62 1 1e+14
63 1 0
64 1 1e+14
65 1 0
66 1 0
67 1 1e+14
68 1 0
69 1 0
70 1 0
71 1 1e+14
72 1 1e+14
73 1 0
74 1 0
75 1 1e+14
76 1 0
77 1 0
78 1 0
79 1 0
80 1 0
81 1 1e+14
82 1 0
83 1 0
84 1 2e+14
85 1 1e+14
86 1 1e+14
87 1 1e+14
88 1 1e+14
89 1 1e+14
90 1 2e+14
91 1 2e+14
92 1 0
93 1 1e+14
94 1 0
95 1 0
96 1 2e+14
97 1 3e+14
98 1 7e+14
99 1 7e+14
100 1 1.1e+15
1 2 3e+14
2 2 1.6e+15
3 2 1.2e+15
4 2 9e+14
5 2 5e+14
6 2 8e+14
7 2 9e+14
8 2 3e+14
9 2 4e+14
10 2 6e+14
11 2 3e+14
12 2 2e+14
13 2 3e+14
14 2 2e+14
15 2 1e+14
16 2 1e+14
17 2 1e+14
18 2 1e+14
19 2 2e+14
20 2 3e+14
21 2 1e+14
22 2 1e+14
23 2 0
24 2 0
25 2 2e+14
26 2 1e+14
27 2 0
28 2 0
29 2 0
30 2 1e+14
31 2 0
32 2 1e+14
33 2 0
34 2 1e+14
35 2 1e+14
36 2 1e+14
37 2 0
38 2 0
39 2 1e+14
40 2 0
41 2 0
42 2 2e+14
43 2 0
44 2 2e+14
45 2 1e+14
46 2 1e+14
47 2 1e+14
48 2 0
49 2 0
50 2 0
51 2 0
52 2 0
53 2 1e+14
54 2 0
55 2 2e+14
56 2 0
57 2 2e+14
58 2 0
59 2 0
60 2 1e+14
61 2 1e+14
62 2 1e+14
63 2 0
64 2 1e+14
65 2 0
66 2 1e+14
67 2 1e+14
68 2 0
69 2 0
70 2 0
71 2 1e+14
72 2 0
73 2 0
74 2 2e+14
75 2 1e+14
76 2 0
77 2 1e+14
78 2 0
79 2 1e+14
80 2 0
81 2 1e+14
82 2 4e+14
83 2 2e+14
84 2 1e+14
85 2 0
86 2 2e+14
87 2 1e+14
88 2 1e+14
89 2 0
90 2 0
91 2 2e+14
92 2 1e+14
93 2 1e+14
94 2 6e+14
95 2 6e+14
96 2 1.1e+15
97 2 9e+14
98 2 8e+14
99 2 8e+14
100 2 5e+14
1 3 5e+14
2 3 5e+14
3 3 1.4e+15
4 3 1.8e+15
5 3 1.4e+15
6 3 1.2e+15
7 3 1.6e+15
8 3 1.6e+15
9 3 1.1e+15
10 3 1.7e+15
11 3 1.1e+15
12 3 1.1e+15
13 3 1.4e+15
14 3 9e+14
15 3 1.1e+15
16 3 1.4e+15
17 3 1.9e+15
18 3 9e+14
19 3 7e+14
20 3 5e+14
21 3 4e+14
22 3 1e+14
23 3 4e+14
24 3 4e+14
25 3 3e+14
26 3 1e+14
27 3 7e+14
28 3 9e+14
29 3 1.2e+15
30 3 8e+14
31 3 8e+14
32 3 1.2e+15
33 3 1.3e+15
34 3 1.4e+15
35 3 1.7e+15
36 3 2e+15
37 3 1.7e+15
38 3 1.9e+15
39 3 2.5e+15
40 3 1.9e+15
41 3 1.1e+15
42 3 2.4e+15
43 3 1.8e+15
44 3 2.1e+15
45 3 2.9e+15
46 3 2.7e+15
47 3 2.5e+15
48 3 2.9e+15
49 3 2.7e+15
50 3 2.7e+15
51 3 3.5e+15
52 3 2.6e+15
53 3 2.3e+15
54 3 2.8e+15
55 3 2.9e+15
56 3 1.6e+15
57 3 2.8e+15
58 3 2.4e+15
59 3 2.3e+15
60 3 2.2e+15
61 3 2.5e+15
62 3 1.1e+15
63 3 9e+14
64 3 1.8e+15
65 3 1.5e+15
66 3 9e+14
67 3 6e+14
68 3 3e+14
69 3 3e+14
70 3 2e+14
71 3 5e+14
72 3 2e+14
73 3 0
74 3 2e+14
75 3 3e+14
76 3 1e+14
77 3 2e+14
78 3 3e+14
79 3 3e+14
80 3 7e+14
81 3 5e+14
82 3 6e+14
83 3 1.3e+15
84 3 6e+14
85 3 9e+14
86 3 1.5e+15
87 3 1.4e+15
88 3 5e+14
89 3 1.4e+15
90 3 1.4e+15
91 3 1.2e+15
92 3 1.4e+15
93 3 1.7e+15
94 3 2.3e+15
95 3 2.4e+15
96 3 2.6e+15
97 3 1.9e+15
98 3 1.2e+15
99 3 1.3e+15
100 3 7e+14
1 4 7e+14
2 4 7e+14
3 4 9e+14
4 4 1.7e+15
5 4 1.3e+15
6 4 1.1e+15
7 4 1.2e+15
8 4 8e+14
9 4 1.1e+15
10 4 2e+15
11 4 1e+15
12 4 6e+14
13 4 2.5e+15
14 4 1.3e+15
15 4 8e+14
16 4 1.4e+15
17 4 1.3e+15
18 4 1.2e+15
19 4 2e+15
20 4 1.6e+15
21 4 2.2e+15
22 4 2e+15
23 4 1.5e+15
24 4 2.3e+15
25 4 2.3e+15
26 4 2.6e+15
27 4 2.2e+15
28 4 2.1e+15
29 4 1.5e+15
30 4 1.8e+15
31 4 2e+15
32 4 2e+15
33 4 1.6e+15
34 4 1.9e+15
35 4 1.1e+15
36 4 1.1e+15
37 4 1.3e+15
38 4 1.5e+15
39 4 1.1e+15
40 4 1e+15
41 4 9e+14
42 4 9e+14
43 4 1.2e+15
44 4 1.4e+15
45 4 1e+15
46 4 8e+14
47 4 8e+14
48 4 1.1e+15
49 4 1e+15
50 4 9e+14
51 4 6e+14
52 4 6e+14
53 4 8e+14
54 4 7e+14
55 4 1e+15
56 4 1.1e+15
57 4 1.2e+15
58 4 1.4e+15
59 4 1.2e+15
60 4 7e+14
61 4 1.9e+15
62 4 1.4e+15
63 4 1.8e+15
64 4 2.2e+15
65 4 1.7e+15
66 4 2.8e+15
67 4 2.6e+15
68 4 2.5e+15
69 4 2.5e+15
70 4 2.2e+15
71 4 2.7e+15
72 4 2.5e+15
73 4 2.8e+15
74 4 2.7e+15
75 4 2.3e+15
76 4 2.4e+15
77 4 2.4e+15
78 4 2e+15
79 4 1.7e+15
80 4 2.2e+15
81 4 1.4e+15
82 4 1.4e+15
83 4 1.1e+15
84 4 1.9e+15
85 4 1.4e+15
86 4 1e+15
87 4 1.8e+15
88 4 2.7e+15
89 4 1.2e+15
90 4 8e+14
91 4 1.9e+15
92 4 2.6e+15
93 4 5e+14
94 4 8e+14
95 4 3e+14
96 4 6e+14
97 4 4e+14
98 4 1.6e+15
99 4 9e+14
100 4 5e+14
1 5 1e+14
2 5 1.1e+15
3 5 1e+15
4 5 1.6e+15
5 5 1.5e+15
6 5 1.3e+15
7 5 1.6e+15
8 5 1.3e+15
9 5 1.7e+15
10 5 9e+14
11 5 9e+14
12 5 1.2e+15
13 5 1e+15
14 5 1.7e+15
15 5 1.4e+15
16 5 1e+15
17 5 1.7e+15
18 5 7e+14
19 5 1.5e+15
20 5 1.1e+15
21 5 1.3e+15
22 5 1e+15
23 5 1.1e+15
24 5 6e+14
25 5 1.2e+15
26 5 1.5e+15
27 5 7e+14
28 5 1e+15
29 5 8e+14
30 5 8e+14
31 5 9e+14
32 5 6e+14
33 5 1.5e+15
34 5 8e+14
35 5 8e+14
36 5 8e+14
37 5 6e+14
38 5 6e+14
39 5 1.1e+15
40 5 6e+14
41 5 1.1e+15
42 5 1.5e+15
43 5 7e+14
44 5 5e+14
45 5 6e+14
46 5 1e+15
47 5 9e+14
48 5 8e+14
49 5 5e+14
50 5 8e+14
51 5 7e+14
52 5 1.4e+15
53 5 8e+14
54 5 1.2e+15
55 5 1.2e+15
56 5 5e+14
57 5 8e+14
58 5 8e+14
59 5 6e+14
60 5 1e+15
61 5 1.2e+15
62 5 8e+14
63 5 9e+14
64 5 1.4e+15
65 5 6e+14
66 5 6e+14
67 5 8e+14
68 5 8e+14
69 5 9e+14
70 5 8e+14
71 5 1.1e+15
72 5 8e+14
73 5 1e+15
74 5 5e+14
75 5 1.2e+15
76 5 9e+14
77 5 9e+14
78 5 1.1e+15
79 5 1.1e+15
80 5 9e+14
81 5 1.3e+15
82 5 1.6e+15
83 5 9e+14
84 5 1.1e+15
85 5 1.4e+15
86 5 1.6e+15
87 5 8e+14
88 5 9e+14
89 5 8e+14
90 5 9e+14
91 5 1e+15
92 5 1.8e+15
93 5 7e+14
94 5 9e+14
95 5 7e+14
96 5 1.8e+15
97 5 1.5e+15
98 5 1.5e+15
99 5 9e+14
100 5 4e+14
1 6 6e+14
2 6 1.3e+15
3 6 3e+14
4 6 1e+15
5 6 1.3e+15
6 6 3e+14
7 6 9e+14
8 6 3e+14
9 6 2.1e+15
10 6 1.5e+15
11 6 1.1e+15
12 6 1.3e+15
13 6 1.1e+15
14 6 8e+14
15 6 1.3e+15
16 6 1.1e+15
17 6 8e+14
18 6 1e+15
19 6 8e+14
20 6 8e+14
21 6 8e+14
22 6 7e+14
23 6 1.2e+15
24 6 6e+14
25 6 1.2e+15
26 6 1.1e+15
27 6 8e+14
28 6 6e+14
29 6 6e+14
30 6 6e+14
31 6 1.3e+15
32 6 5e+14
33 6 9e+14
34 6 9e+14
35 6 5e+14
36 6 1e+15
37 6 7e+14
38 6 1e+15
39 6 1.4e+15
40 6 5e+14
41 6 3e+14
42 6 9e+14
43 6 1.3e+15
44 6 5e+14
45 6 1e+15
46 6 6e+14
47 6 4e+14
48 6 8e+14
49 6 1.6e+15
50 6 9e+14
51 6 4e+14
52 6 7e+14
53 6 3e+14
54 6 3e+14
55 6 6e+14
56 6 5e+14
57 6 7e+14
58 6 5e+14
59 6 6e+14
60 6 9e+14
61 6 1e+15
62 6 7e+14
63 6 1e+15
64 6 6e+14
65 6 7e+14
66 6 7e+14
67 6 1e+15
68 6 1.1e+15
69 6 6e+14
70 6 1.2e+15
71 6 7e+14
72 6 8e+14
73 6 3e+14
74 6 6e+14
75 6 1.4e+15
76 6 1.5e+15
77 6 1.1e+15
78 6 1.4e+15
79 6 1.3e+15
80 6 1e+15
81 6 1e+15
82 6 1.5e+15
83 6 9e+14
84 6 1.7e+15
85 6 7e+14
86 6 8e+14
87 6 8e+14
88 6 8e+14
89 6 1.2e+15
90 6 1.2e+15
91 6 1.8e+15
92 6 9e+14
93 6 3e+14
94 6 1.2e+15
95 6 8e+14
96 6 1.3e+15
97 6 1.2e+15
98 6 5e+14
99 6 8e+14
100 6 2e+14
1 7 0
2 7 1.4e+15
3 7 7e+14
4 7 1.3e+15
5 7 1.2e+15
6 7 9e+14
7 7 9e+14
8 7 7e+14
9 7 1.7e+15
10 7 1.9e+15
11 7 1.3e+15
12 7 1.6e+15
13 7 1.5e+15
14 7 1.6e+15
15 7 8e+14
16 7 1.3e+15
17 7 1.5e+15
18 7 1.1e+15
19 7 1.5e+15
20 7 1.3e+15
21 7 1.3e+15
22 7 1e+15
23 7 1.2e+15
24 7 1.1e+15
25 7 8e+14
26 7 1.5e+15
27 7 1.3e+15
28 7 6e+14
29 7 1e+15
30 7 9e+14
31 7 1e+15
32 7 1e+15
33 7 1.1e+15
34 7 7e+14
35 7 1e+15
36 7 7e+14
37 7 8e+14
38 7 1.2e+15
39 7 9e+14
40 7 1e+15
41 7 1e+15
42 7 1e+15
43 7 1.3e+15
44 7 1.3e+15
45 7 1.1e+15
46 7 1.4e+15
47 7 2.1e+15
48 7 1.4e+15
49 7 1.7e+15
50 7 1.8e+15
51 7 2.4e+15
52 7 1.7e+15
53 7 3.5e+15
54 7 2.2e+15
55 7 3.3e+15
56 7 1.4e+15
57 7 7e+14
58 7 1.1e+15
59 7 3e+14
60 7 6e+14
61 7 1.1e+15
62 7 8e+14
63 7 1.2e+15
64 7 1e+15
65 7 1.6e+15
66 7 4e+14
67 7 8e+14
68 7 1e+15
69 7 5e+14
70 7 1e+15
71 7 9e+14
72 7 1.1e+15
73 7 9e+14
74 7 1.5e+15
75 7 1e+15
76 7 6e+14
77 7 7e+14
78 7 7e+14
79 7 8e+14
80 7 7e+14
81 7 1e+15
82 7 1.2e+15
83 7 1.6e+15
84 7 1.1e+15
85 7 9e+14
86 7 1.7e+15
87 7 1.5e+15
88 7 1.1e+15
89 7 1.3e+15
90 7 1.3e+15
91 7 1.2e+15
92 7 1.3e+15
93 7 1e+15
94 7 1.2e+15
95 7 1.4e+15
96 7 8e+14
97 7 1.1e+15
98 7 1.7e+15
99 7 7e+14
100 7 3e+14
1 8 0
2 8 6e+14
3 8 1.9e+15
4 8 1.9e+15
5 8 1.1e+15
6 8 1.2e+15
7 8 1.1e+15
8 8 1.1e+15
9 8 1.6e+15
10 8 9e+14
11 8 1.2e+15
12 8 1.2e+15
13 8 1e+15
14 8 1.9e+15
15 8 9e+14
16 8 4e+14
17 8 1.6e+15
18 8 1.2e+15
19 8 1.1e+15
20 8 1e+15
21 8 1.4e+15
22 8 1.6e+15
23 8 1.2e+15
24 8 1.2e+15
25 8 1e+15
26 8 1.4e+15
27 8 1.5e+15
28 8 9e+14
29 8 7e+14
30 8 1e+15
31 8 1.1e+15
32 8 1e+15
33 8 1.1e+15
34 8 1.2e+15
35 8 6e+14
36 8 1.2e+15
37 8 1e+15
38 8 1.1e+15
39 8 8e+14
40 8 1.2e+15
41 8 1.6e+15
42 8 1.5e+15
43 8 3e+15
44 8 1.5e+15
45 8 3.2e+15
46 8 2.4e+15
47 8 2.4e+15
48 8 2e+15
49 8 1.6e+15
50 8 1.3e+15
51 8 1.8e+15
52 8 2e+15
53 8 1.4e+15
54 8 2.3e+15
55 8 1.3e+15
56 8 2.4e+15
57 8 3.2e+15
58 8 2.5e+15
59 8 2.3e+15
60 8 2.7e+15
61 8 1.5e+15
62 8 6e+14
63 8 6e+14
64 8 1e+15
65 8 8e+14
66 8 1.1e+15
67 8 1.2e+15
68 8 1.1e+15
69 8 1e+15
70 8 1.1e+15
71 8 1.4e+15
72 8 1.1e+15
73 8 6e+14
74 8 1e+15
75 8 1.1e+15
76 8 1.6e+15
77 8 1.9e+15
78 8 1.4e+15
79 8 1.8e+15
80 8 1.1e+15
81 8 1.3e+15
82 8 1.8e+15
83 8 1.3e+15
84 8 1.4e+15
85 8 1.3e+15
86 8 1.6e+15
87 8 1.5e+15
