title="iDensity"
variables = "x","y","num"
zone i=100,j=100,f=point
1 1 1e+15
2 1 9e+14
3 1 8e+14
4 1 4e+14
5 1 2e+14
6 1 6e+14
7 1 2e+14
8 1 5e+14
9 1 5e+14
10 1 4e+14
11 1 2e+14
12 1 0
13 1 1e+14
14 1 4e+14
15 1 3e+14
16 1 2e+14
17 1 2e+14
18 1 1e+14
19 1 2e+14
20 1 1e+14
21 1 5e+14
22 1 3e+14
23 1 1e+14
24 1 4e+14
25 1 1e+14
26 1 2e+14
27 1 5e+14
28 1 1e+14
29 1 1e+14
30 1 0
31 1 2e+14
32 1 3e+14
33 1 3e+14
34 1 1e+14
35 1 0
36 1 1e+14
37 1 0
38 1 3e+14
39 1 0
40 1 0
41 1 0
42 1 2e+14
43 1 1e+14
44 1 1e+14
45 1 0
46 1 4e+14
47 1 4e+14
48 1 2e+14
49 1 0
50 1 0
51 1 1e+14
52 1 3e+14
53 1 5e+14
54 1 0
55 1 2e+14
56 1 2e+14
57 1 1e+14
58 1 0
59 1 2e+14
60 1 1e+14
61 1 1e+14
62 1 1e+14
63 1 1e+14
64 1 0
65 1 2e+14
66 1 3e+14
67 1 1e+14
68 1 6e+14
69 1 3e+14
70 1 2e+14
71 1 2e+14
72 1 0
73 1 2e+14
74 1 5e+14
75 1 1e+14
76 1 0
77 1 3e+14
78 1 5e+14
79 1 1e+14
80 1 4e+14
81 1 1e+14
82 1 0
83 1 2e+14
84 1 1e+14
85 1 5e+14
86 1 1e+14
87 1 1e+14
88 1 1e+14
89 1 4e+14
90 1 2e+14
91 1 2e+14
92 1 3e+14
93 1 6e+14
94 1 1e+14
95 1 4e+14
96 1 1e+14
97 1 6e+14
98 1 1e+15
99 1 7e+14
100 1 1.2e+15
1 2 1.1e+15
2 2 1.5e+15
3 2 1.3e+15
4 2 8e+14
5 2 7e+14
6 2 7e+14
7 2 9e+14
8 2 6e+14
9 2 1e+14
10 2 1e+14
11 2 1e+14
12 2 4e+14
13 2 2e+14
14 2 8e+14
15 2 1e+14
16 2 4e+14
17 2 3e+14
18 2 6e+14
19 2 2e+14
20 2 4e+14
21 2 3e+14
22 2 1e+14
23 2 2e+14
24 2 2e+14
25 2 3e+14
26 2 2e+14
27 2 0
28 2 3e+14
29 2 2e+14
30 2 5e+14
31 2 0
32 2 0
33 2 1e+14
34 2 3e+14
35 2 3e+14
36 2 2e+14
37 2 3e+14
38 2 0
39 2 1e+14
40 2 2e+14
41 2 4e+14
42 2 2e+14
43 2 1e+14
44 2 2e+14
45 2 3e+14
46 2 1e+14
47 2 2e+14
48 2 3e+14
49 2 1e+14
50 2 2e+14
